Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD_min dI_min dH_nT dX_nT dY_nT dZ_nT dF_nT
2014.5 E K100 70.3 30.8    13d 50m    78d 54m   10013.6   9723.3   2393.7  51059.7  52032.3    10.1       0.8         -5.6    -12.5     27.4     34.5     32.7
2013 E K100 70.3 30.8    13d 35m    78d 53m   10022.1   9742.1   2352.6  51007.9  51983.2    10.1       0.8         -5.8    -12.5     27.4     34.5     32.7
2012.5 M K470 70.3 30.8    10d 36m    78d 49m    8656.5   8508.8   1592.6  43775.9  44623.6    10.5       0.9         -6.1    -10.9     24.8     26.4     24.7
2011.5 E M1042 70.3 30.8    14d 12m    78d 53m   10444.0  10124.8   2562.6  53120.2  54137.2    10.0       0.8         -5.7    -13.0     28.1     37.1     35.3
2010.5 E F30000 70.3 30.8    13d 58m    78d 52m   10415.1  10107.4   2513.1  52902.1  53917.6    10.0       0.8         -5.8    -13.0     28.0     36.9     35.1
2013.7 E F30000 -70.3 -30.8     0d -34m   -60d 28m   19011.1  19010.1   -190.6 -33564.3  38574.4    -1.7       0.6        -32.0    -32.1     -9.0     69.2    -76.0
2013.7 E F30000 -70 -30    -1d  8m   -60d 21m   18937.9  18934.1   -376.3 -33261.5  38274.9    -1.6       0.5        -32.2    -32.4     -8.2     68.8    -75.7
2013.7 E F30000 43 -30   -11d 12m    59d  7m   23549.5  23100.5  -4576.4  39375.5  45880.4    10.2      -3.5         31.9     44.8     62.1    -38.7    -16.8
2013 E F30000 43 -54   -17d 45m    63d 49m   21703.6  20669.5  -6619.5  44124.6  49173.4     9.9      -5.8         40.5     57.6     46.9   -104.1    -75.5
2013 E K1.3 48.123 16.123     3d 29m    64d 26m   20916.6  20878.1   1268.2  43719.4  48465.4     6.1       0.2         10.2      8.0     37.9     28.3     29.9
2014 E K1.3 48.123 16.123     3d 35m    64d 26m   20926.9  20886.1   1306.0  43747.7  48495.3     6.1       0.2         10.3      8.0     37.9     28.3     30.0
2014.8849 E K1.3 48.123 16.123     3d 40m    64d 26m   20936.0  20893.1   1339.5  43772.7  48521.8     6.1       0.2         10.4      8.0     37.9     28.3     30.0
